customer_id,first_name,last_name,email,store_id,total_rentals,total_spent,last_rental_date
1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,1,1024,3797.76,"2005-08-22 20:03:46"
2,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,1,729,3475.71,"2005-08-23 17:39:35"
3,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,1,676,3529.24,"2005-08-23 07:10:14"
4,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,2,484,1799.16,"2005-08-23 07:43:00"
5,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,1,1444,5495.56,"2006-02-14 15:16:03"
6,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,2,784,2624.16,"2005-08-23 06:41:32"
7,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,1,1089,5005.11,"2005-08-21 04:49:48"
8,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,2,576,2226.24,"2005-08-23 14:31:19"
9,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,2,529,2064.71,"2006-02-14 15:16:03"
10,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,1,625,2493.75,"2005-08-22 21:59:29"
11,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,2,576,2562.24,"2006-02-14 15:16:03"
12,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,1,784,2904.16,"2005-08-23 20:28:44"
13,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,2,729,3556.71,"2005-08-22 20:51:24"
14,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,2,784,3296.16,"2006-02-14 15:16:03"
15,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,1,1024,4309.76,"2006-02-14 15:16:03"
16,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,2,812,3379.88,"2005-08-21 14:45:34"
17,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,1,441,2074.59,"2005-08-23 12:41:38"
18,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,2,484,2019.16,"2005-08-20 01:29:29"
19,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,1,576,3018.24,"2005-08-23 03:46:47"
20,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,2,900,3471.00,"2005-08-23 01:10:42"
21,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,1,1225,5447.75,"2006-02-14 15:16:03"
22,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,1,484,2503.16,"2006-02-14 15:16:03"
23,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,2,900,3591.00,"2006-02-14 15:16:03"
